DATE;DAY;HOLIDAY;HOLIDAY_NAME;VOLUME
20/04/2023;Thursday;1; Idul Fitri ;25471.75
21/04/2023;Friday;1; Idul Fitri ;23290.26
22/04/2023;Saturday;1; Idul Fitri ;22073.39
23/04/2023;Sunday;1; Idul Fitri ;22188.87
24/04/2023;Monday;1; Idul Fitri ;22908.45
25/04/2023;Tuesday;1; Idul Fitri ;24398.08
26/04/2023;Wednesday;0; na ;27103.47
27/04/2023;Thursday;0; na ;31433.19
28/04/2023;Friday;0; na ;32098.82
29/04/2023;Saturday;0; na ;30183.05
30/04/2023;Sunday;0; na ;28189.45
01/05/2023;Monday;1; Hari Buruh ;25620.51
02/05/2023;Tuesday;0; na ;36619.9
03/05/2023;Wednesday;0; na ;41870.57
04/05/2023;Thursday;0; na ;42295.73
05/05/2023;Friday;0; na ;43445.31
06/05/2023;Saturday;0; na ;39564.94
07/05/2023;Sunday;0; na ;36145.27
08/05/2023;Monday;0; na ;49061.62
09/05/2023;Tuesday;0; na ;55510.81
10/05/2023;Wednesday;0; na ;54047.49
11/05/2023;Thursday;0; na ;56155.13
12/05/2023;Friday;0; na ;56774.87
13/05/2023;Saturday;0; na ;52020.45
14/05/2023;Sunday;0; na ;46644.34
15/05/2023;Monday;0; na ;55222.23
16/05/2023;Tuesday;0; na ;55221.88
17/05/2023;Wednesday;0; na ;56897.43
18/05/2023;Thursday;1; Kenaikan Isa Almasih ;49369.99
19/05/2023;Friday;0; na ;54495.52
20/05/2023;Saturday;0; na ;50414.44
21/05/2023;Sunday;0; na ;36995.36
22/05/2023;Monday;0; na ;45169.16
23/05/2023;Tuesday;0; na ;48502.46
24/05/2023;Wednesday;0; na ;46350.75
25/05/2023;Thursday;0; na ;47255.89
26/05/2023;Friday;0; na ;47289.07
27/05/2023;Saturday;0; na ;42088.95
28/05/2023;Sunday;0; na ;34965.85
29/05/2023;Monday;0; na ;41785.99
30/05/2023;Tuesday;0; na ;44387.87
31/05/2023;Wednesday;0; na ;42184.39
