DATE,FORECAST,ACTUAL
2023-01-02,42273.117639929755,42523.49
2023-01-03,51712.64905236732,47886.36
2023-01-04,51609.51224847035,52657.44
2023-01-05,51625.61590045577,54113.56
2023-01-06,51487.896348309616,52313.81
2023-01-07,48026.857881278236,49245.89
2023-01-08,43962.482456356,44941.04
2023-01-09,49987.246227661664,49607.36
2023-01-10,51760.43581480096,51531.02
2023-01-11,51657.2990111962,51005.89
2023-01-12,51673.402663493755,49917.93
2023-01-13,51535.68311134147,50237.37
2023-01-14,48074.644644300446,46987.49
2023-01-15,44010.26921938584,41386.42
2023-01-16,50035.03299067365,48385.58
2023-01-17,51808.222577827306,50429.38
2023-01-18,51705.08577422315,50930.28
2023-01-19,51721.18942651918,50745.0
2023-01-20,51583.46987436768,52514.14
2023-01-21,48122.43121015581,50611.7
2023-01-22,44255.34107894652,44365.23
2023-01-23,55287.6832572213,55039.67
2023-01-24,55792.977426875324,55518.87
2023-01-25,51752.871551382894,56106.71
2023-01-26,51768.9750065034,54838.26
2023-01-27,51631.25525718651,55134.48
2023-01-28,48170.216592977675,50079.15
2023-01-29,44105.84097087431,46137.54
2023-01-30,50130.60454499358,51868.49
2023-01-31,51903.793934963585,52882.33
2023-02-01,51800.656934192695,50541.1
2023-02-02,51816.76038931306,51437.39
2023-02-03,51679.04063998504,51758.84
2023-02-04,48218.00197578557,48538.4
2023-02-05,44150.49383312784,41805.08
2023-02-06,50172.12488669317,49565.43
2023-02-07,51942.18175609958,53844.66
2023-02-08,51835.91223478086,53745.93
2023-02-09,51848.883169344685,54363.69
2023-02-10,51708.0308994612,54354.3
2023-02-11,48243.85971469648,51435.97
2023-02-12,44176.351572040825,42295.02
2023-02-13,50197.98262561474,51427.7
2023-02-14,51968.039495026525,55053.31
2023-02-15,51861.76997369083,56487.62
2023-02-16,51874.74090825882,57259.76
2023-02-17,51733.88863837612,51350.59
2023-02-18,46874.523067847396,46714.95
2023-02-19,45157.022944680284,45087.23
2023-02-20,50201.12555325544,54064.64
2023-02-21,51959.82501702027,56422.79
2023-02-22,51842.198090050435,57268.53
2023-02-23,51843.81161897077,56832.78
2023-02-24,51691.601943457455,56110.8
2023-02-25,48216.07335304298,52184.94
2023-02-26,44137.20780475442,45078.28
2023-02-27,50147.48145269539,52090.59
2023-02-28,51906.18091645472,58782.4
2023-03-01,51788.553989488704,50448.77
2023-03-02,51790.167518401824,51658.03
2023-03-03,51637.9578428893,51800.58
2023-03-04,48162.429252470814,47145.2
2023-03-05,44083.56370419124,41830.19
2023-03-06,50086.7156382654,54576.84
2023-03-07,51838.29338819439,53518.56
2023-03-08,51713.54474737716,51374.77
2023-03-09,51708.03656246084,52754.24
2023-03-10,51548.705173090384,54732.43
2023-03-11,48066.05486884732,52672.95
2023-03-12,43980.06760670498,45891.04
2023-03-13,49983.21954078082,54029.58
2023-03-14,51734.79729070726,56882.41
2023-03-15,51610.04864989234,57234.92
2023-03-16,51604.54046496882,55858.45
2023-03-17,51445.209075599145,54603.81
2023-03-18,47962.55877135209,50339.73
2023-03-19,43876.57150921604,45913.77
2023-03-20,49878.9663728149,54475.4
2023-03-21,51629.7870522604,55916.1
2023-03-22,49341.112533927146,48862.36
2023-03-23,50915.241493717316,50378.88
2023-03-24,53669.48449579422,53045.17
2023-03-25,47854.520250981506,51086.15
2023-03-26,43767.77591837071,45327.26
2023-03-27,49770.17078195037,48944.3
2023-03-28,51520.99146141418,53623.99
2023-03-29,51395.48575012328,51869.16
2023-03-30,51389.22049471252,51774.56
2023-03-31,51229.132034858274,52468.37
2023-04-01,47745.72466013107,49432.37
2023-04-02,43658.98032751845,45197.96
2023-04-03,49661.375191106716,52049.7
2023-04-04,51412.17483357038,50273.48
2023-04-05,51286.64808528644,52803.36
2023-04-06,51280.361792880525,54769.69
2023-04-07,49121.3332710881,48534.85
2023-04-08,49279.327583352446,48642.48
2023-04-09,43550.058514709985,46168.1
2023-04-10,49552.432341309075,51907.94
2023-04-11,51303.23198377268,52025.92
2023-04-12,51177.70523548143,50585.28
2023-04-13,51171.41894308656,49611.6
2023-04-14,51011.309446242354,51137.8
2023-04-15,47527.88103450269,45345.99
2023-04-16,43441.11566490786,38848.92
2023-04-17,49443.48949151143,44701.17
2023-04-18,51194.289133942766,41546.62
2023-04-19,34661.47768003078,34456.74
2023-04-20,25336.593862811565,25471.75
2023-04-21,23060.200401150978,23290.26
2023-04-22,21844.067939786593,22073.39
2023-04-23,21939.023723763283,22188.87
2023-04-24,22646.043828751157,22908.45
2023-04-25,24207.68170798141,24398.08
2023-04-26,27103.100060470962,27103.47
2023-04-27,31598.428742451597,31433.19
2023-04-28,32277.26165839115,32098.82
2023-04-29,30335.636816238843,30183.05
2023-04-30,28241.47724180145,28189.45
2023-05-01,24690.41785559381,25620.51
2023-05-02,36967.55821321608,36619.9
2023-05-03,50850.8766859614,41870.57
